,Rank,Name,Artist,Upload Date,Views
0,1,"""Baby Shark Dance""[4]",Pinkfong Baby Shark - Kids' Songs & Stories,"June 17, 2016",12.85
1,2,"""Despacito""[7]",Luis Fonsi,"January 12, 2017",8.16
2,3,"""Johny Johny Yes Papa""[14]",LooLoo Kids,"October 8, 2016",6.7
3,4,"""Bath Song""[15]",Cocomelon – Nursery Rhymes,"May 2, 2018",6.2
4,5,"""Shape of You""[16]",Ed Sheeran,"January 30, 2017",6
5,6,"""See You Again""[19]",Wiz Khalifa,"April 6, 2015",5.89
6,7,"""Phonics Song with Two Words""[24]",ChuChu TV,"March 6, 2014",5.3
7,8,"""Wheels on the Bus""[25]",Cocomelon – Nursery Rhymes,"May 24, 2018",5.24
8,9,"""Uptown Funk""[26]",Mark Ronson,"November 19, 2014",4.92
9,10,"""Learning Colors – Colorful Eggs on a Farm""[27]",Miroshka TV,"February 27, 2018",4.89
10,11,"""Gangnam Style""[28]",Psy,"July 15, 2012",4.8
11,12,"""Masha and the Bear – Recipe for Disaster""[33]",Get Movies,"January 31, 2012",4.55
12,13,"""Dame Tu Cosita""[34]",El Chombo,"April 5, 2018",4.35
13,14,"""Axel F""[35]",Crazy Frog,"June 16, 2009",3.91
14,15,"""Sugar""[36]",Maroon 5,"January 14, 2015",3.87
15,16,"""Roar""[37]",Katy Perry,"September 5, 2013",3.8
16,17,"""Counting Stars""[38]",OneRepublic,"May 31, 2013",3.79
17,18,"""Sorry""[39]",Justin Bieber,"October 22, 2015",3.66
18,19,"""Baa Baa Black Sheep""[40]",Cocomelon – Nursery Rhymes,"June 25, 2018",3.64
19,20,"""Thinking Out Loud""[41]",Ed Sheeran,"October 7, 2014",3.6
20,21,"""Waka Waka (This Time for Africa)""[42]",Shakira,"June 4, 2010",3.59
21,22,"""Dark Horse""[43]",Katy Perry,"February 20, 2014",3.52
22,23,"""Lakdi Ki Kathi""[44]",Jingle Toons,"June 14, 2018",3.48
23,24,"""Faded""[45]",Alan Walker,"December 3, 2015",3.45
24,25,"""Perfect""[46]",Ed Sheeran,"November 9, 2017",3.45
25,26,"""Let Her Go""[47]",Passenger,"July 25, 2012",3.44
26,27,"""Girls Like You""[48]",Maroon 5,"May 31, 2018",3.42
27,28,"""Humpty the train on a fruits ride""[49]",Kiddiestv Hindi – Nursery Rhymes & Kids Songs,"January 26, 2018",3.41
28,29,"""Lean On""[50]",Major Lazer,"March 22, 2015",3.38
29,30,"""Bailando""[51]",Enrique Iglesias,"April 11, 2014",3.38
