,Song Name,Artist Name,Last Week Rank,Peak Rank,Weeks On Board
0,Last Night,Morgan Wallen,1,1,20
1,Flowers,Miley Cyrus,2,1,22
2,Fast Car,Luke Combs,4,3,12
3,Calm Down,Rema & Selena Gomez,3,3,41
4,All My Life,Lil Durk Featuring J. Cole,5,2,5
5,Favorite Song,Toosii,7,5,17
6,Kill Bill,SZA,6,1,27
7,Creepin',"Metro Boomin, The Weeknd & 21 Savage",9,3,28
8,Karma,Taylor Swift Featuring Ice Spice,10,2,14
9,Ella Baila Sola,Eslabon Armado X Peso Pluma,8,4,13
10,Sure Thing,Miguel,12,11,46
11,Anti-Hero,Taylor Swift,11,1,34
12,Die For You,The Weeknd & Ariana Grande,14,1,46
13,Something In The Orange,Zach Bryan,15,10,60
14,Snooze,SZA,19,15,27
15,La Bebe,Yng Lvcas x Peso Pluma,23,11,13
16,Where She Goes,Bad Bunny,16,8,4
17,Un x100to,Grupo Frontera X Bad Bunny,17,5,9
18,Need A Favor,Jelly Roll,20,19,11
19,Search & Rescue,Drake,18,2,10
20,You Proof,Morgan Wallen,22,5,57
21,Thinkin' Bout Me,Morgan Wallen,24,9,15
22,Chemical,Post Malone,25,13,9
23,Cupid,Fifty Fifty,21,17,13
24,Rock And A Hard Place,Bailey Zimmerman,27,10,53
25,Eyes Closed,Ed Sheeran,33,19,12
26,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,26,3,19
27,Next Thing You Know,Jordan Davis,38,28,21
28,Put It On Da Floor Again,Latto Featuring Cardi B,13,13,2
29,Thought You Should Know,Morgan Wallen,32,7,44
30,I'm Good (Blue),David Guetta & Bebe Rexha,29,4,42
31,Dance The Night,Dua Lipa,35,32,3
32,Area Codes,Kali,37,33,6
33,Dancin' In The Country,Tyler Hubbard,36,23,17
34,One Thing At A Time,Morgan Wallen,30,10,28
35,Memory Lane,Old Dominion,42,36,11
36,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,31,31,2
37,Tennessee Orange,Megan Moroney,45,30,27
38,Cruel Summer,Taylor Swift,47,29,6
39,TQM,Fuerza Regida,34,34,4
40,Stand By Me,Lil Durk Featuring Morgan Wallen,28,22,3
41,Religiously,Bailey Zimmerman,50,40,6
42,Dial Drunk,Noah Kahan,-,43,1
43,Under The Influence,Chris Brown,46,12,40
44,Players,Coi Leray,39,9,24
45,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",41,41,2
46,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",44,44,2
47,Take Two,BTS,-,48,1
48,Love You Anyway,Luke Combs,52,15,18
49,Thank God,Kane Brown With Katelyn Brown,40,13,40
50,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",51,51,2
51,Princess Diana,Ice Spice & Nicki Minaj,53,4,9
52,Bye,Peso Pluma,54,53,3
53,Self Love,Metro Boomin & Coi Leray,62,54,2
54,It Matters To Her,Scotty McCreery,49,49,9
55,Daylight,David Kushner,56,47,9
56,PRC,Peso Pluma X Natanael Cano,55,33,18
57,Por Las Noches,Peso Pluma,57,28,14
58,Mourning,Post Malone,58,36,4
59,What It Is (Block Boy),Doechii Featuring Kodak Black,73,60,6
60,See You Again,"Tyler, The Creator Featuring Kali Uchis",60,44,9
61,TQG,Karol G x Shakira,63,7,16
62,El Azul,Junior H x Peso Pluma,64,55,10
63,Bury Me In Georgia,Kane Brown,77,64,5
64,Waffle House,Jonas Brothers,74,57,7
65,"You, Me, & Whiskey",Justin Moore & Priscilla Block,72,66,6
66,Your Heart Or Mine,Jon Pardi,80,67,5
67,Plebada,El Alfa x Peso Pluma,-,68,1
68,Cowgirls,Morgan Wallen Featuring ERNEST,76,40,15
69,ICU,Coco Jones,75,63,13
70,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",82,71,4
71,Popular,"The Weeknd, Playboi Carti & Madonna",43,43,2
72,Slut Me Out,NLE Choppa,67,28,13
73,Peaches & Eggplants,Young Nudy Featuring 21 Savage,92,74,2
74,America Has A Problem,Beyonce Featuring Kendrick Lamar,66,38,5
75,Fight The Feeling,Rod Wave,81,16,11
76,Ain't That Some,Morgan Wallen,83,11,15
77,Shake Sumn,DaBaby,85,69,6
78,Chanel,Becky G & Peso Pluma,78,55,9
79,People,Libianca,91,80,7
80,Bread & Butter,Gunna,48,48,2
81,Trustfall,P!nk,100,82,3
82,Fragil,Yahritza y Su Esencia x Grupo Frontera,88,69,8
83,Hits Different,Taylor Swift,65,27,3
84,Jaded,Miley Cyrus,98,56,5
85,Pound Town 2,Sexyy Red & Tay Keith & Nicki Minaj,68,66,3
86,Low Down,Lil Baby,89,50,13
87,Ocean Spray,Moneybagg Yo,69,69,2
88,Truck Bed,HARDY,-,89,1
89,Moonlight,Kali Uchis,97,80,10
90,Trance,"Metro Boomin, Travis Scott & Young Thug",96,42,19
91,All The Way Live,"Metro Boomin, Future & Lil Uzi Vert",61,61,2
92,The Hillbillies,Baby Keem & Kendrick Lamar,-,93,1
93,El Gordo Trae El Mando,Chino Pacas,93,58,13
94,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,-,22,13
95,Save Me,Jelly Roll With Lainey Wilson,86,86,2
96,Yandel 150,Yandel & Feid,-,71,17
97,Beso,Rosalia & Rauw Alejandro,94,52,12
98,I Wrote The Book,Morgan Wallen,-,18,19
99,Hummingbird,Metro Boomin & James Blake,90,90,2
