,Designation,Company,Experience,CTC,Location,Posted On,Openings
0,Hiring Freshers : HR Executive: Recruiter-Gurugram : ACS,Advance Career Solutions,0 - 1 years,"50,000-2.5 Lacs P.A.","Gurgaon/ Gurugram,Haryana",2 days ago,5
1,Assistant Manager - HR (Field Level Recruitment),Muthoot Microfin4.1468 ReviewsEmployees' choice,0 - 2 years,2.5-4 Lacs P.A.,"Bhubaneswar,Odisha, Hubli,Karnataka, Sambalpur,Odisha, Ambala,Haryana, Belagavi/ Belgaum,Karnataka",7 days ago,1
2,HR Intern,Lifecell3.6444 Reviews,0 - 3 years,Not Disclosed,Hybrid,2 days ago,4
3,HR Executive,Definedge Solutions5.03 Reviews,0 - 3 years,Not Disclosed,Pune,1 day ago,1
4,HR Executive,Bonami Software4.237 Reviews,0 - 1 years,4-5 Lacs P.A.,"New Delhi, Delhi / NCR",1 day ago,5
5,Direct Walk in Interview For HR Executive(Female),m2 Vending3.95 Reviews,0 - 1 years,1.25-2.25 Lacs P.A.,"Gurgaon/ Gurugram,Haryana",1 day ago,1
6,HR Payroll Executive,Cedcoss Technologies3.3170 Reviews,0 - 3 years,Not Disclosed,Lucknow,2 days ago,1
7,HR Intern,HR Remedy India,0 - 1 years,Not Disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",2 days ago,404
8,Executive/ Assistant Manager HR Generalist - Pune ( Dress Code ),OASIS3.960 Reviews,0 - 3 years,5-6 Lacs P.A.,"Pune,Maharashtra( Koregaon Park )",9 days ago,4196
9,Opening For Management Trainee / Executive - HR,Sahajanand Medical Technologies3.8115 Reviews,0 - 2 years,Not Disclosed,Mumbai (All Areas),4 days ago,162
10,Recruiter - HR,Fashion Tv India4.3140 Reviews,0 - 3 years,Not Disclosed,Mumbai,1 day ago,1
11,HR Recruiter - Talent Acquisition -,Fashion Tv India4.3140 Reviews,0 - 3 years,Not Disclosed,Mumbai,2 days ago,1
12,Hiring For HR freshers / Day shift / Recruiter,Black And White Business Solutions,0 years,Not Disclosed,"Bangalore/Bengaluru( 1st Stage Indira Nagar, Vijayanagar, Domlur )",2 days ago,129
13,HR Associate / Trainee Recruiter (AMS Human Resources Pvt Ltd ),Ams Human Resources,0 - 2 years,Not Disclosed,Pune( Baner Pashan Link Road ),1 day ago,1
14,Hiring For HR Associate | Off-Role | End-To-End Recruitment,Kotak Life Insurance3.91940 Reviews,0 - 2 years,Not Disclosed,"Mumbai Suburban,Maharashtra, Goregaon,Maharashtra, Mumbai (All Areas)",6 days ago,348
15,HR Recruiter,Symphoni Hr,0 - 3 years,1-2 Lacs P.A.,Remote,3 days ago,7
16,HR Assistant,Focus Edumatics3.0525 Reviews,0 - 2 years,Not Disclosed,Bangalore/Bengaluru,1 day ago,1
17,HR Executive,Caliber Organisation3.84 Reviews,0 - 1 years,Not Disclosed,Ahmedabad,4 days ago,121
